Actor 1,NumericValue,Actor 2,NumericValue,Actor 3,NumericValue
Manmauji,0.0,Birbal,0,Rajendra Bhatia,0.0
Rasika Dugal,1.0,Vivek Ghamande,1,Arvind Jangid,1.0
Sayani Gupta,2.0,Plabita Borthakur,2,Roy Angana,2.0
Prateik,3.0,Ishita Raj,3,Siddhant Kapoor,3.0
Rajat Kapoor,4.0,Rituparna Sengupta,4,Antara Mali,4.0
Bobby Deol,5.0,Aishwarya Rai Bachchan,5,Shammi Kapoor,5.0
Jimmy Sheirgill,6.0,Minissha Lamba,6,Yashpal Sharma,6.0
,7.0,,7,,7.0
Yash Dave,8.0,Muntazir Ahmad,8,Kiran Bhatia,8.0
Augustine,9.0,Fathima Babu,9,Byon,9.0
Rati Agnihotri,10.0,Gulshan Grover,10,Atul Kulkarni,10.0
Pankaj Berry,11.0,Anubhav Dhir,11,Hritu Dudani,11.0
Jackie Shroff,12.0,Madhuri Dixit,12,Javed Jaffrey,12.0
Jeet,13.0,Koyel Mallick,13,Sujoy Ghosh,13.0
Saraswati,14.0,Disco Shanti,14,Vijay Raaz,14.0
Amitabh Bachchan,15.0,Rishi Kapoor,15,Brahmanandam,15.0
Vijay Raaz,16.0,Sanjay Mishra,16,Jeetu,16.0
Pravin Anand,17.0,Nayan Bhatt,17,Manu Rishi Chadha,17.0
Neil Bhoopalam,18.0,Anusha Bose,18,Austin Ki Bachchi,18.0
Aftab,19.0,Sayani Atish,19,Anubhav Dixit,19.0
Sonu Sonkar,20.0,Sunita Verman,20,Shashikala,20.0
Guru Dutt,21.0,Waheeda Rehman,21,Dalip Tahil,21.0
Mithun Chakraborty,22.0,Makrand Deshpande,22,Heena Shaik,22.0
Mast Ali,23.0,Aziz Naser,23,Raj Singh Verma,23.0
Nirmal Pandey,24.0,Khushi Rajpoot,24,Asima Bhatt,24.0
Rahul Tiwari Adhiyari,25.0,Anil Arora,25,Poonam Dhillon,25.0
Madhavan,26.0,Neetu Chandra,26,Gauahar Khan,26.0
Vikrant Massey,27.0,Kriti Kharbanda,27,Rahul Bose,27.0
Shabana Azmi,28.0,Konkona Sen Sharma,28,Shakti Kapoor,28.0
Ronit Roy,29.0,Tisca Chopra,29,Gulshan Grover,29.0
Milind Soman,30.0,Danny Denzongpa,30,Mukesh Tiwari,30.0
Rehal Khan,31.0,Suraiya,31,Menaka Devi,31.0
Nigar Sultana,32.0,Adah Sharma,32,Vinay Pandey,32.0
Tarun Arora,33.0,Meera Chopra,33,Anjori Alagh,33.0
John Abraham,34.0,Tia Bajpai,34,Vishal Karwal,34.0
Rajniesh Duggall,35.0,Karan Kundra,35,Tarakesh Chauhan,35.0
Sharman Joshi,36.0,Jackie Shroff,36,Vikram Bhatt,36.0
Vicky Ahuja,37.0,Ravi Kishan,37,Manisha Koirala,37.0
Zareen Khan,38.0,Apurva Godbole,38,Deepak Dobriyal,38.0
Anil Kapoor,39.0,Omna,39,Vaishnavi Kadam,39.0
Manoj Bajpayee,40.0,Bidita Bag,40,Rita Agarwal,40.0
Abuzar Akhtar,41.0,Neelu Dogra,41,Madhuri Bhatia,41.0
Amitkumar Sharma,42.0,Ronak Bhatia,42,Rahat Kazmi,42.0
Mumtaz Ahmed,43.0,Sumeet Sharma,43,Kamal Chopra,43.0
Bilal Ahamad Bhagat,44.0,Rocky Verma,44,Sumeet Sharma,44.0
Ravi Bhatia,45.0,Satnam Kaur,45,Saadhika,45.0
Hemant Pandey,46.0,Alia Bhatt,46,Anil Nagrath,46.0
Ashutosh Rana,47.0,Akshay Kumar,47,Amrita Singh,47.0
