Genre,NumericValue
Drama,0
"Drama, Musical",1
"Comedy, Romance",2
"Comedy, Drama, Musical",3
"Drama, Romance, War",4
Documentary,5
"Horror, Mystery, Thriller",6
"Action, Crime, Thriller",7
Horror,8
"Horror, Romance, Thriller",9
"Comedy, Drama, Romance",10
Thriller,11
"Comedy, Drama",12
,13
"Comedy, Drama, Fantasy",14
"Comedy, Drama, Family",15
"Crime, Drama, Mystery",16
"Horror, Thriller",17
Biography,18
"Comedy, Horror",19
Action,20
"Drama, Horror, Mystery",21
Comedy,22
"Action, Thriller",23
"Drama, History",24
"Drama, History, Sport",25
"Horror, Mystery, Romance",26
"Horror, Mystery",27
"Drama, Horror, Romance",28
"Action, Drama, History",29
"Action, Drama, War",30
"Comedy, Family",31
"Adventure, Horror, Mystery",32
"Action, Sci-Fi",33
"Crime, Mystery, Thriller",34
War,35
Sport,36
"Biography, Drama, History",37
"Horror, Romance",38
"Crime, Drama",39
"Drama, Romance",40
"Adventure, Drama",41
"Comedy, Mystery, Thriller",42
"Action, Crime, Drama",43
"Crime, Thriller",44
"Horror, Sci-Fi, Thriller",45
"Crime, Drama, Thriller",46
"Drama, Mystery, Thriller",47
"Drama, Sport",48
"Drama, Family, Musical",49
"Action, Comedy",50
"Comedy, Thriller",51
"Action, Adventure, Fantasy",52
"Drama, Romance, Thriller",53
"Action, Drama",54
"Drama, Horror, Musical",55
"Action, Biography, Drama",56
"Adventure, Comedy, Drama",57
Mystery,58
"Action, Fantasy, Mystery",59
"Adventure, Drama, Mystery",60
"Mystery, Thriller",61
Adventure,62
"Drama, Musical, Thriller",63
"Comedy, Crime, Drama",64
"Musical, Romance",65
"Documentary, Music",66
"Documentary, History, Music",67
"Drama, Fantasy, Mystery",68
"Drama, Family, Sport",69
"Drama, Thriller",70
"Documentary, Biography",71
"Action, Adventure, Comedy",72
Romance,73
"Comedy, Drama, Music",74
"Comedy, Horror, Mystery",75
Musical,76
"Musical, Romance, Drama",77
"Family, Romance",78
"Action, Sci-Fi, Thriller",79
"Action, Drama, Romance",80
"Mystery, Romance",81
Fantasy,82
Family,83
"Drama, Family",84
"Action, Comedy, Drama",85
"Action, Drama, Thriller",86
"Drama, Horror, Thriller",87
"Drama, Musical, Romance",88
"Comedy, Sci-Fi",89
"Action, Romance",90
"Action, Crime",91
"Action, Drama, Crime",92
"Drama, Family, Music",93
"Action, Mystery, Thriller",94
"Action, Drama, Family",95
"Action, Mystery",96
"Drama, History, Romance",97
"Crime, Drama, Music",98
Sci-Fi,99
Animation,100
"Crime, Mystery, Romance",101
"Action, Adventure, Romance",102
"Music, Romance",103
"Action, Comedy, Crime",104
"Comedy, Family, Fantasy",105
"Romance, Drama",106
"Drama, Family, Romance",107
"Romance, Drama, Family",108
"Musical, Romance, Thriller",109
"Family, Musical, Romance",110
"Action, Drama, Fantasy",111
"Family, Drama",112
"Crime, Drama, Romance",113
"Musical, Drama, Romance",114
"Drama, Music, Musical",115
"Drama, Mystery",116
"Adventure, Comedy, Romance",117
"Crime, Drama, Horror",118
"Family, Music, Musical",119
"Action, Musical, Thriller",120
"Action, Romance, Thriller",121
"Romance, Thriller",122
"Drama, Music",123
"Crime, Drama, Musical",124
"Action, Crime, Mystery",125
"Action, Adventure, Thriller",126
"Comedy, Romance, Sci-Fi",127
Crime,128
